income,credit_score,loan_amount,employment_length_years,loan_status,loan_to_income
48924.25,582,5000.0,17,1,0.10219671846337014
33424.4,619,10000.0,31,1,0.29917368228951635
53562.96,590,5000.0,38,0,0.09334634705873128
90564.53,661,20000.0,32,0,0.22083457138714918
31555.65,770,15000.0,25,1,0.47533562656365613
31555.96,573,20000.0,16,1,0.6337746094680856
93669.48,750,25000.0,28,0,0.2668930489093256
57552.96,572,25000.0,19,1,0.4343749761093763
27400.47,565,25000.0,29,1,0.9123598113531864
50288.72,732,15000.0,4,0,0.2982716944934273
27500.22,742,20000.0,5,1,0.7272404642412227
27462.1,735,25000.0,9,1,0.9103123827972808
41989.6,518,20000.0,5,1,0.47629707601225035
11522.21,603,10000.0,9,1,0.867813742871995
12900.86,732,25000.0,20,1,1.937705106085479
25916.3,654,25000.0,3,1,0.9646066526991623
19777.52,543,15000.0,12,1,0.7583985050448668
43850.81,696,20000.0,9,1,0.45608151636158234
21061.15,579,15000.0,15,1,0.7121780065188026
15562.47,829,15000.0,18,1,0.963795348980658
87499.58,804,20000.0,5,0,0.22856991347943065
31714.66,710,10000.0,25,0,0.3153016522437181
37817.11,786,20000.0,8,0,0.5288471581472475
15446.71,656,10000.0,9,1,0.6473451404771322
26196.22,727,15000.0,39,0,0.5725798386240982
38814.67,798,10000.0,2,0,0.25762791161404663
18204.13,675,10000.0,18,1,0.5492957204919712
45497.78,624,10000.0,34,0,0.21978611294632516
25326.76,480,25000.0,5,1,0.987059258299984
30484.81,642,25000.0,28,1,0.820053657750934
25310.54,732,15000.0,18,1,0.5926150680677666
97148.71499999998,745,20000.0,14,0,0.20586781958135444
36022.6,700,10000.0,37,0,0.2775957983099968
19252.06,596,25000.0,20,1,1.2984948886047205
59487.82,452,20000.0,38,1,0.33619762503273726
17456.96,600,10000.0,22,1,0.5728046117644903
41163.95,620,20000.0,19,1,0.4858502196650306
11205.92,619,5000.0,1,1,0.44615291266467505
16368.08,712,10000.0,31,0,0.6109078824222253
40868.58,849,20000.0,27,1,0.4893615251245547
56561.28,662,10000.0,3,0,0.17679626776006907
40248.22,628,10000.0,6,1,0.24845201969131325
33881.05,624,5000.0,2,0,0.14757076387054502
30313.18,662,20000.0,24,1,0.6597572489178332
14956.28,567,15000.0,8,1,1.002856134270402
23578.57,662,25000.0,22,1,1.0602398601840493
27546.11,695,10000.0,22,0,0.36301448681912546
68478.38,671,10000.0,25,0,0.14602935949478513
44630.42,696,10000.0,39,0,0.22405740171385988
12609.12,693,10000.0,17,1,0.7930138650544165
44110.38,473,25000.0,23,1,0.5667471749920315
28823.62,714,15000.0,26,1,0.5203884734646979
24193.68,583,5000.0,1,1,0.20665700062989054
