income,credit_score,loan_amount,employment_length_years,loan_status
48924.25,582,5000,17,1
33424.4,619,10000,31,1
53562.96,590,5000,38,0
90564.53,661,20000,32,0
31555.65,770,15000,25,1
31555.96,573,20000,16,1
93669.48,750,25000,28,0
57552.96,572,25000,19,1
27400.47,565,25000,29,1
50288.72,732,15000,4,0
27500.22,742,20000,5,1
27462.1,735,25000,9,1
41989.6,518,20000,5,1
11522.21,603,10000,9,1
12900.86,732,25000,20,1
25916.3,654,25000,3,1
19777.52,543,15000,12,1
43850.81,696,20000,9,1
21061.15,579,15000,15,1
15562.47,829,15000,18,1
87499.58,804,20000,5,0
31714.66,710,10000,25,0
37817.11,786,20000,8,0
15446.71,656,10000,9,1
26196.22,727,15000,39,0
38814.67,798,10000,2,0
18204.13,675,10000,18,1
45497.78,624,10000,34,0
25326.76,480,25000,5,1
30484.81,642,25000,28,1
25310.54,732,15000,18,1
110344.98,745,20000,14,0
36022.6,700,10000,37,0
19252.06,596,25000,20,1
59487.82,452,20000,38,1
17456.96,600,10000,22,1
41163.95,620,20000,19,1
11205.92,619,5000,1,1
16368.08,712,10000,31,0
40868.58,849,20000,27,1
56561.28,662,10000,3,0
40248.22,628,10000,6,1
33881.05,624,5000,2,0
30313.18,662,20000,24,1
14956.28,567,15000,8,1
23578.57,662,25000,22,1
27546.11,695,10000,22,0
68478.38,671,10000,25,0
44630.42,696,10000,39,0
12609.12,693,10000,17,1
44110.38,473,25000,23,1
28823.62,714,15000,26,1
24193.68,583,5000,1,1
52418.02,540,15000,0,1
67413.44,540,25000,15,1
63498.28,693,20000,23,1
21948.84,628,5000,35,0
30166.06,482,5000,10,1
44300.8,698,20000,25,0
65207.32,506,10000,5,0
27241.46,664,25000,25,1
32487.3,674,20000,28,1
18698.51,739,15000,0,1
17716.93,828,15000,8,1
59131.29,514,20000,26,1
81940.12,645,25000,6,1
34779.87,622,5000,2,0
66311.57,693,5000,8,1
45115.52,672,10000,1,1
24659.76,615,25000,9,1
45109.01,606,15000,16,1
91383.66,538,15000,30,0
35543.21,749,10000,0,1
92854.24,696,15000,17,0
7541.32,742,10000,5,1
59464.9,619,10000,37,0
38262.6,584,20000,3,1
30351.33,542,5000,39,0
38370.97,686,25000,3,1
11019.91,546,25000,34,1
31831.03,835,5000,3,0
44993.24,519,25000,0,1
88144.82,677,15000,30,0
26609.88,807,15000,18,0
22357.2,710,25000,20,1
26874.84,668,20000,29,1
62896.22,553,25000,6,1
44234.07,512,10000,4,0
26427.06,727,10000,1,1
49412.59,801,5000,2,1
38493.57,606,15000,14,0
,536,20000,38,1
23831.61,404,25000,36,1
29833.96,552,10000,9,1
28702.37,639,15000,8,1
15091.56,810,15000,22,1
43376.46,717,20000,13,1
42473.4,681,20000,32,1
36427.09,610,20000,15,1
31547.44,592,20000,19,1
15533.86,791,10000,7,1
28215.11,670,20000,37,1
29565.73,440,15000,33,0
22440.75,583,15000,30,1
32965.89,564,25000,7,1
46278.4,595,15000,24,0
112612.9,706,15000,12,0
40325.8,639,10000,17,1
42384.17,642,15000,33,1
34729.07,781,5000,35,0
11484.31,580,15000,16,1
35742.35,836,25000,11,1
37651.88,583,25000,15,1
159204.57,659,20000,12,0
32356.93,622,10000,10,1
43517.93,662,25000,13,1
35566.98,694,5000,27,1
18011.99,693,5000,23,1
72091.66,575,20000,16,0
57020.14,538,10000,8,1
58373.61,850,10000,29,0
21043.93,602,15000,36,1
84261.18,720,5000,2,1
15660.38,489,5000,7,1
51643.22,622,5000,17,0
135167.95,637,5000,29,0
20043.86,697,25000,2,1
25854.02,378,10000,33,0
38553.06,667,15000,27,1
26847.14,535,25000,36,1
14322.71,682,10000,24,1
37840.6,546,20000,29,0
19199.08,564,5000,6,1
48250.21,623,15000,28,0
20917.58,545,10000,1,1
92038.35,602,20000,25,1
22698.36,531,5000,6,0
29934.38,467,20000,17,1
59166.47,752,20000,5,0
